img,label
"[[[168 217 247]
  [166 215 245]
  [168 214 247]
  ...
  [175 221 244]
  [174 219 242]
  [170 215 238]]

 [[174 219 248]
  [166 213 241]
  [172 217 246]
  ...
  [171 217 240]
  [170 215 238]
  [171 216 239]]

 [[174 214 239]
  [170 212 236]
  [169 213 238]
  ...
  [177 223 246]
  [174 220 243]
  [171 217 240]]

 ...

 [[114 110  99]
  [ 71  69  56]
  [ 76  72  60]
  ...
  [118 115 106]
  [126 121 115]
  [120 115 109]]

 [[116 109 101]
  [ 77  73  62]
  [136 134 121]
  ...
  [ 66  68  55]
  [ 95  90  84]
  [151 143 140]]

 [[136 129 121]
  [114 110  99]
  [112 110  98]
  ...
  [ 26  28  15]
  [ 59  54  48]
  [134 124 122]]]",53
"[[[ 10  11   6]
  [ 10  11   6]
  [ 10  11   6]
  ...
  [ 11  12   7]
  [ 10  11   6]
  [  7   8   3]]

 [[ 16  17  12]
  [ 16  17  12]
  [ 17  18  13]
  ...
  [ 15  16  11]
  [ 15  16  11]
  [ 13  14   9]]

 [[ 15  15  13]
  [ 15  15  13]
  [ 16  16  14]
  ...
  [ 14  14  12]
  [ 16  16  14]
  [ 15  15  13]]

 ...

 [[193 145 109]
  [197 153 116]
  [198 160 121]
  ...
  [ 19  16   9]
  [ 20  15  11]
  [ 20  15  11]]

 [[194 148 114]
  [199 156 121]
  [200 165 127]
  ...
  [ 20  15   9]
  [ 20  15  11]
  [ 19  15  12]]

 [[190 144 111]
  [197 154 120]
  [199 164 126]
  ...
  [ 19  15   6]
  [ 20  15  12]
  [ 19  15  14]]]",23
"[[[ 17  21  20]
  [ 18  22  21]
  [ 11  15  16]
  ...
  [ 36  37  23]
  [ 51  47  35]
  [ 55  51  39]]

 [[ 18  22  21]
  [ 19  23  22]
  [ 11  15  16]
  ...
  [ 37  38  24]
  [ 53  49  37]
  [ 57  53  41]]

 [[ 19  23  22]
  [ 19  23  22]
  [ 12  16  17]
  ...
  [ 38  39  25]
  [ 53  49  37]
  [ 58  54  42]]

 ...

 [[ 71  66  72]
  [ 73  68  72]
  [ 76  70  70]
  ...
  [ 88  76  60]
  [ 89  76  60]
  [ 88  75  59]]

 [[ 79  79  89]
  [126 126 134]
  [ 49  48  56]
  ...
  [ 67  62  56]
  [ 69  62  54]
  [ 68  61  53]]

 [[127 129 141]
  [161 163 175]
  [ 40  39  53]
  ...
  [ 63  62  60]
  [ 65  61  58]
  [ 64  60  57]]]",62
"[[[ 55   0   0]
  [ 57   0   0]
  [ 56   0   0]
  ...
  [ 52   0   5]
  [ 41   0   0]
  [ 40   0   0]]

 [[ 79  20  16]
  [ 81  20  17]
  [ 82  18  16]
  ...
  [ 59  10  16]
  [ 49   7   8]
  [ 48  10   7]]

 [[ 85  17  18]
  [ 87  19  20]
  [ 89  19  21]
  ...
  [ 48   7  13]
  [ 41   5   5]
  [ 42   8   6]]

 ...

 [[155 132 124]
  [179 154 147]
  [184 159 152]
  ...
  [129 107  96]
  [156 136 127]
  [152 133 126]]

 [[147 127 116]
  [170 150 139]
  [183 160 152]
  ...
  [130 106  96]
  [160 137 129]
  [165 145 136]]

 [[149 131 119]
  [149 131 119]
  [179 156 148]
  ...
  [140 113 104]
  [157 132 125]
  [166 143 135]]]",17
"[[[187 196 203]
  [188 197 204]
  [189 198 205]
  ...
  [189 198 205]
  [189 198 205]
  [189 198 205]]

 [[188 195 203]
  [188 197 204]
  [189 196 204]
  ...
  [191 200 207]
  [191 200 207]
  [191 200 207]]

 [[192 196 205]
  [189 196 204]
  [191 195 204]
  ...
  [194 201 209]
  [194 201 209]
  [194 201 209]]

 ...

 [[189 148 130]
  [170 131 114]
  [103  69  57]
  ...
  [ 23  21  35]
  [ 25  23  37]
  [ 26  24  38]]

 [[ 50  34  18]
  [ 37  21   6]
  [ 35  17   7]
  ...
  [ 24  22  36]
  [ 25  23  37]
  [ 27  25  39]]

 [[ 11  10   0]
  [ 20  17   2]
  [ 30  19  13]
  ...
  [ 25  23  37]
  [ 25  23  37]
  [ 27  25  39]]]",23
"[[[110 129  83]
  [119 148 100]
  [102 152 103]
  ...
  [155  57  54]
  [172  52  53]
  [180  50  50]]

 [[ 95 133  84]
  [ 99 147  97]
  [ 86 148  97]
  ...
  [157  55  53]
  [174  52  51]
  [181  51  51]]

 [[ 62 139  83]
  [ 62 146  87]
  [ 58 147  91]
  ...
  [161  53  53]
  [174  50  50]
  [184  52  50]]

 ...

 [[ 98  54 113]
  [ 61  39 101]
  [ 32  51 117]
  ...
  [248  77  59]
  [253  80  64]
  [252  79  63]]

 [[ 98  54 105]
  [ 62  39  95]
  [ 31  50 116]
  ...
  [244  75  56]
  [251  80  63]
  [253  80  64]]

 [[ 98  55 101]
  [ 62  39  91]
  [ 32  50 116]
  ...
  [243  74  55]
  [248  77  60]
  [254  81  65]]]",121
"[[[ 22  22  24]
  [ 24  24  26]
  [ 22  20  21]
  ...
  [168 206 242]
  [170 206 242]
  [169 205 241]]

 [[ 18  18  20]
  [ 19  19  21]
  [ 20  18  19]
  ...
  [169 207 243]
  [171 206 244]
  [170 206 242]]

 [[ 17  17  19]
  [ 17  17  19]
  [ 19  19  19]
  ...
  [172 207 245]
  [172 207 247]
  [172 207 245]]

 ...

 [[232 219 210]
  [233 220 211]
  [237 224 215]
  ...
  [133  62  32]
  [132  61  33]
  [139  68  40]]

 [[227 212 205]
  [230 215 208]
  [234 221 212]
  ...
  [158  85  50]
  [156  81  49]
  [156  81  49]]

 [[223 208 201]
  [226 211 204]
  [232 219 210]
  ...
  [157  85  47]
  [163  87  51]
  [160  84  48]]]",13
"[[[ 26   7   3]
  [ 26   7   3]
  [ 26   7   1]
  ...
  [ 40  13   4]
  [ 35  15   8]
  [ 31  12   6]]

 [[ 26   7   3]
  [ 26   7   3]
  [ 26   7   1]
  ...
  [ 41  14   3]
  [ 33  13   6]
  [ 33  14   7]]

 [[ 26   7   3]
  [ 26   7   3]
  [ 26   7   1]
  ...
  [ 37  11   0]
  [ 31  11   2]
  [ 34  16   6]]

 ...

 [[ 32   9   1]
  [ 36  13   5]
  [ 34  11   3]
  ...
  [ 18   4   3]
  [ 16   2   2]
  [ 13   0   0]]

 [[ 66  44  33]
  [ 41  19   8]
  [ 37  15   4]
  ...
  [ 16   5   3]
  [ 14   2   2]
  [ 12   0   2]]

 [[194 172 161]
  [ 62  40  29]
  [ 33  11   0]
  ...
  [ 12   1   0]
  [ 11   0   0]
  [ 10   0   0]]]",86
"[[[25 26 21]
  [22 23 18]
  [11 12  7]
  ...
  [24 19 42]
  [21 17 31]
  [10  7 16]]

 [[14 15 10]
  [29 30 25]
  [26 27 22]
  ...
  [19 14 34]
  [18 15 26]
  [11  8 15]]

 [[ 2  2  0]
  [21 21 19]
  [31 31 29]
  ...
  [13  9 23]
  [13 12 20]
  [10  9 14]]

 ...

 [[18 17 22]
  [18 17 22]
  [19 18 23]
  ...
  [11 11 13]
  [14 14 16]
  [14 14 14]]

 [[19 17 20]
  [17 17 19]
  [19 18 23]
  ...
  [13 13 15]
  [20 18 21]
  [14 12 13]]

 [[17 15 16]
  [17 15 16]
  [15 14 19]
  ...
  [18 18 20]
  [14 12 15]
  [18 16 17]]]",49
"[[[ 95 143   5]
  [101 148   8]
  [104 145   5]
  ...
  [ 73 108  44]
  [100 141  63]
  [110 154  69]]

 [[ 91 137   2]
  [ 91 135   0]
  [100 138   1]
  ...
  [ 85 116  56]
  [105 143  68]
  [107 146  65]]

 [[ 88 127   0]
  [100 137   6]
  [121 154  23]
  ...
  [ 80 109  53]
  [ 91 122  52]
  [107 139  63]]

 ...

 [[ 87 140 144]
  [ 39  84  89]
  [ 71  96 103]
  ...
  [ 43  54  60]
  [ 59  68  75]
  [ 70  79  86]]

 [[ 74 125 128]
  [ 36  77  81]
  [ 81 101 110]
  ...
  [ 41  55  58]
  [ 45  56  60]
  [ 55  66  70]]

 [[ 54 103 107]
  [ 48  87  92]
  [ 81 101 110]
  ...
  [ 42  56  59]
  [ 47  58  62]
  [ 49  60  64]]]",35
"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 1  0  0]
  [ 1  0  0]]

 ...

 [[44 33 31]
  [38 28 26]
  [38 28 26]
  ...
  [ 2  4  3]
  [ 2  4  1]
  [ 2  4  1]]

 [[38 28 26]
  [33 23 21]
  [37 27 25]
  ...
  [ 2  4  3]
  [ 2  4  1]
  [ 2  4  1]]

 [[37 27 25]
  [31 21 19]
  [35 27 24]
  ...
  [ 2  4  3]
  [ 1  3  0]
  [ 1  3  0]]]",74
"[[[239 240 242]
  [239 241 240]
  [239 241 240]
  ...
  [ 88 111  69]
  [113 137 101]
  [150 174 140]]

 [[240 240 242]
  [239 240 242]
  [239 241 240]
  ...
  [ 77 100  56]
  [109 131  92]
  [138 163 123]]

 [[241 239 244]
  [241 241 243]
  [241 241 241]
  ...
  [ 68  91  45]
  [109 133  83]
  [131 155 105]]

 ...

 [[164 125  66]
  [174 133  77]
  [159 111  62]
  ...
  [255 190 122]
  [252 185 117]
  [250 181 112]]

 [[145 109  51]
  [170 131  76]
  [144  98  49]
  ...
  [252 187 119]
  [249 182 114]
  [248 179 110]]

 [[150 114  56]
  [170 131  76]
  [137  91  42]
  ...
  [250 185 117]
  [248 181 113]
  [248 179 110]]]",119
"[[[  9  12   3]
  [  9  12   3]
  [  9  12   3]
  ...
  [ 42  52  53]
  [ 42  52  54]
  [ 42  52  54]]

 [[  9  12   3]
  [  9  12   3]
  [  9  12   3]
  ...
  [ 42  54  54]
  [ 43  53  55]
  [ 42  53  55]]

 [[  7  13   3]
  [  7  13   3]
  [  7  13   3]
  ...
  [ 40  54  54]
  [ 43  55  55]
  [ 41  55  55]]

 ...

 [[231 224 178]
  [235 229 181]
  [238 232 184]
  ...
  [255 253 212]
  [254 252 211]
  [253 251 210]]

 [[237 224 179]
  [241 228 183]
  [242 229 184]
  ...
  [255 252 209]
  [254 251 206]
  [253 250 205]]

 [[238 224 179]
  [242 228 183]
  [243 229 182]
  ...
  [254 251 206]
  [254 250 203]
  [253 249 202]]]",28
"[[[ 54  54  56]
  [ 57  57  59]
  [ 56  56  58]
  ...
  [ 69  65  64]
  [ 66  65  61]
  [ 61  62  57]]

 [[ 56  56  58]
  [ 56  56  58]
  [ 55  55  57]
  ...
  [ 69  65  64]
  [ 66  67  62]
  [ 63  65  60]]

 [[ 56  56  58]
  [ 54  54  56]
  [ 53  53  55]
  ...
  [ 64  65  60]
  [ 64  66  61]
  [ 62  67  61]]

 ...

 [[ 48  53  56]
  [ 69  75  75]
  [ 86  92  92]
  ...
  [178 145 128]
  [202 166 144]
  [216 180 156]]

 [[ 89  92  97]
  [ 87  91  94]
  [ 78  82  83]
  ...
  [190 155 136]
  [172 137 117]
  [188 153 131]]

 [[ 90  93 100]
  [ 73  76  81]
  [ 70  71  73]
  ...
  [218 183 164]
  [199 164 144]
  [182 147 127]]]",72
"[[[ 16  25  22]
  [ 14  23  20]
  [ 10  19  16]
  ...
  [  4   8  11]
  [  7   8  12]
  [  8   9  13]]

 [[ 17  26  23]
  [ 15  24  21]
  [ 11  20  17]
  ...
  [  4   8  11]
  [  6   7  11]
  [  6   7  11]]

 [[ 16  25  22]
  [ 15  24  21]
  [ 14  20  18]
  ...
  [  4   8   9]
  [  5   6   8]
  [  5   5   7]]

 ...

 [[  3  13  12]
  [ 10  14  13]
  [ 17   8  13]
  ...
  [143 148 170]
  [124 128 153]
  [129 133 158]]

 [[ 18  11   5]
  [ 19   8   4]
  [ 37  15  17]
  ...
  [143 149 171]
  [124 129 151]
  [127 132 154]]

 [[ 20   6   0]
  [ 85  66  60]
  [187 157 157]
  ...
  [149 156 175]
  [123 128 150]
  [126 131 153]]]",70
"[[[  3   2   0]
  [  3   2   0]
  [  3   2   0]
  ...
  [  2   3   5]
  [  4   2   3]
  [  4   2   3]]

 [[  3   2   0]
  [  3   2   0]
  [  3   2   0]
  ...
  [  4   2   3]
  [  4   2   3]
  [  4   2   3]]

 [[  2   2   0]
  [  2   2   0]
  [  3   2   0]
  ...
  [  7   1   1]
  [  7   1   1]
  [  6   2   1]]

 ...

 [[ 77  21   4]
  [127  69  49]
  [110  46  21]
  ...
  [245 171 126]
  [251 169 132]
  [250 167 133]]

 [[116  52  27]
  [151  87  60]
  [113  52  24]
  ...
  [240 164 114]
  [246 164 116]
  [248 166 118]]

 [[170 103  74]
  [156  91  61]
  [140  79  51]
  ...
  [244 167 113]
  [248 167 114]
  [249 166 112]]]",59
"[[[182 182 182]
  [185 185 185]
  [192 192 192]
  ...
  [233 233 233]
  [234 234 234]
  [235 235 235]]

 [[185 185 185]
  [187 187 187]
  [193 193 193]
  ...
  [231 231 231]
  [231 231 231]
  [231 231 231]]

 [[188 188 188]
  [190 190 190]
  [194 194 194]
  ...
  [231 231 231]
  [230 230 230]
  [229 229 229]]

 ...

 [[185 185 185]
  [198 198 198]
  [208 208 208]
  ...
  [227 227 227]
  [225 225 225]
  [219 219 219]]

 [[181 181 181]
  [195 195 195]
  [205 205 205]
  ...
  [226 226 226]
  [221 221 221]
  [217 217 217]]

 [[170 170 170]
  [186 186 186]
  [197 197 197]
  ...
  [225 225 225]
  [216 216 216]
  [219 219 219]]]",32
"[[[ 85  64  61]
  [ 91  70  67]
  [ 97  71  74]
  ...
  [127 149 207]
  [129 151 211]
  [131 153 213]]

 [[ 92  68  68]
  [ 96  72  72]
  [ 98  72  75]
  ...
  [127 152 208]
  [129 154 210]
  [130 155 211]]

 [[ 98  71  78]
  [ 99  72  77]
  [ 98  71  76]
  ...
  [127 155 203]
  [127 155 203]
  [128 156 204]]

 ...

 [[ 21  39  61]
  [ 26  42  65]
  [ 26  37  59]
  ...
  [ 30  28  39]
  [  9   9  21]
  [ 14  14  26]]

 [[ 33  47  60]
  [ 86  96 108]
  [188 190 202]
  ...
  [ 47  48  53]
  [ 12  13  18]
  [  7   8  13]]

 [[209 219 228]
  [239 246 254]
  [247 246 252]
  ...
  [ 70  71  75]
  [ 12  13  17]
  [ 10  11  13]]]",111
"[[[ 13  13  15]
  [ 16  16  18]
  [ 16  16  18]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[ 17  17  19]
  [ 11  11  13]
  [ 15  15  17]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[ 17  17  19]
  [ 18  18  20]
  [ 14  14  16]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[154 154 154]
  [165 165 165]
  [172 172 172]
  ...
  [166 163 170]
  [154 149 153]
  [124 120 121]]

 [[164 162 165]
  [174 172 175]
  [177 175 178]
  ...
  [164 163 169]
  [165 163 166]
  [154 153 151]]

 [[167 165 168]
  [183 181 184]
  [187 185 188]
  ...
  [149 150 155]
  [149 147 148]
  [154 153 151]]]",88
"[[[ 13  20  36]
  [ 31  40  55]
  [ 45  61  76]
  ...
  [176 114 103]
  [190 126 116]
  [207 143 133]]

 [[ 13  20  36]
  [ 32  41  56]
  [ 46  62  77]
  ...
  [193 129 119]
  [203 139 129]
  [213 149 139]]

 [[ 13  20  36]
  [ 34  43  58]
  [ 50  63  79]
  ...
  [209 145 136]
  [213 146 137]
  [211 144 135]]

 ...

 [[ 16  25  40]
  [ 18  27  42]
  [ 14  26  42]
  ...
  [182  54  43]
  [195  66  61]
  [189  61  60]]

 [[ 15  24  39]
  [ 17  26  41]
  [ 14  26  42]
  ...
  [196  66  53]
  [196  62  59]
  [195  61  62]]

 [[ 13  22  37]
  [ 14  26  40]
  [ 13  25  41]
  ...
  [193  63  50]
  [196  61  58]
  [190  54  56]]]",108
"[[[ 28  25  16]
  [ 29  26  17]
  [ 31  29  17]
  ...
  [ 29  30  22]
  [ 30  31  23]
  [ 30  31  23]]

 [[ 32  29  20]
  [ 45  42  33]
  [ 36  34  22]
  ...
  [ 32  33  25]
  [ 31  32  24]
  [ 30  31  23]]

 [[ 43  40  31]
  [139 136 127]
  [ 96  94  82]
  ...
  [ 32  33  25]
  [ 29  30  22]
  [ 28  29  21]]

 ...

 [[233 170  13]
  [232 172  16]
  [235 172  19]
  ...
  [225 158   5]
  [217 151   3]
  [213 147   0]]

 [[229 163  14]
  [230 166  17]
  [232 165  22]
  ...
  [229 163   4]
  [235 170  16]
  [233 168  14]]

 [[229 163  15]
  [231 165  19]
  [233 166  26]
  ...
  [234 169   7]
  [234 170  12]
  [237 172  16]]]",46
"[[[121 127 117]
  [126 127 119]
  [129 124 120]
  ...
  [115 113 100]
  [113 111  96]
  [113 111  96]]

 [[128 130 125]
  [125 126 120]
  [130 125 119]
  ...
  [111 109  96]
  [110 108  95]
  [111 109  94]]

 [[127 126 131]
  [126 125 123]
  [129 122 112]
  ...
  [109 107  94]
  [109 107  94]
  [111 109  96]]

 ...

 [[196 174 163]
  [207 193 190]
  [221 220 234]
  ...
  [ 35  34  32]
  [ 30  29  27]
  [ 27  26  24]]

 [[186 173 164]
  [225 219 219]
  [215 222 240]
  ...
  [ 35  34  32]
  [ 33  32  30]
  [ 35  34  32]]

 [[207 200 190]
  [215 215 215]
  [214 222 243]
  ...
  [ 58  57  55]
  [ 57  56  54]
  [ 61  60  58]]]",3
"[[[152 158 154]
  [149 158 153]
  [149 160 152]
  ...
  [143 160 154]
  [143 159 158]
  [142 161 159]]

 [[152 158 154]
  [149 158 153]
  [145 156 150]
  ...
  [143 158 153]
  [143 159 156]
  [136 155 153]]

 [[140 146 144]
  [142 151 146]
  [142 153 147]
  ...
  [138 150 146]
  [140 155 152]
  [140 156 153]]

 ...

 [[232 213 181]
  [229 213 179]
  [233 215 179]
  ...
  [ 50  27  37]
  [ 47  24  34]
  [ 44  21  31]]

 [[230 214 181]
  [228 212 178]
  [232 214 178]
  ...
  [ 61  38  46]
  [ 59  36  44]
  [ 55  32  40]]

 [[227 212 179]
  [231 215 181]
  [232 213 180]
  ...
  [ 62  39  47]
  [ 61  38  46]
  [ 56  33  41]]]",38
"[[[245 244 250]
  [245 244 250]
  [245 244 252]
  ...
  [255 253 255]
  [255 253 255]
  [255 253 255]]

 [[245 244 250]
  [245 244 250]
  [245 244 252]
  ...
  [255 253 255]
  [255 253 255]
  [255 253 255]]

 [[244 243 248]
  [245 244 249]
  [244 243 249]
  ...
  [255 253 255]
  [255 253 255]
  [255 253 255]]

 ...

 [[186 125  96]
  [191 130  99]
  [196 136  99]
  ...
  [190 161 145]
  [214 169 140]
  [222 170 133]]

 [[194 135 105]
  [200 139 108]
  [199 139 102]
  ...
  [186 149 130]
  [218 164 128]
  [226 163 120]]

 [[198 139 109]
  [208 149 115]
  [207 145 108]
  ...
  [178 137 115]
  [213 153 116]
  [226 158 113]]]",93
"[[[  8   8   6]
  [  8   8   6]
  [  8   8   6]
  ...
  [  9  11   8]
  [ 10  11   6]
  [ 11  12   7]]

 [[ 10  10   8]
  [  9   9   7]
  [ 10  10   8]
  ...
  [  8  10   7]
  [  9  10   5]
  [  9  10   5]]

 [[ 10  10   8]
  [ 10  10   8]
  [ 10  10   8]
  ...
  [  8   8   6]
  [  8   9   4]
  [  8   9   4]]

 ...

 [[ 37  16  13]
  [ 73  55  51]
  [103  92  88]
  ...
  [ 67  72  78]
  [ 88  92 103]
  [ 69  75  87]]

 [[ 32  13   7]
  [ 61  46  41]
  [ 87  78  73]
  ...
  [ 87  92  95]
  [ 53  58  62]
  [ 58  63  69]]

 [[ 24   5   0]
  [ 66  51  44]
  [ 79  70  65]
  ...
  [ 75  79  80]
  [ 78  83  86]
  [ 58  63  67]]]",70
"[[[ 42  17  21]
  [ 41  16  20]
  [ 40  15  18]
  ...
  [ 68  28  28]
  [ 69  27  28]
  [ 68  26  27]]

 [[ 43  16  21]
  [ 42  17  21]
  [ 42  17  20]
  ...
  [ 71  27  26]
  [ 72  26  28]
  [ 72  26  26]]

 [[ 45  16  21]
  [ 44  17  22]
  [ 45  18  23]
  ...
  [ 76  26  25]
  [ 77  25  27]
  [ 78  27  26]]

 ...

 [[129  21  18]
  [129  21  18]
  [131  22  19]
  ...
  [240  66  59]
  [244  71  65]
  [250  79  72]]

 [[125  23  19]
  [125  23  19]
  [129  25  22]
  ...
  [236  55  44]
  [233  56  46]
  [240  68  56]]

 [[124  25  20]
  [121  22  17]
  [123  21  17]
  ...
  [233  51  38]
  [230  52  40]
  [232  59  45]]]",34
"[[[ 24  58  59]
  [ 25  59  60]
  [ 30  61  63]
  ...
  [ 90 101  97]
  [ 88  98  99]
  [ 83  93  94]]

 [[ 26  60  61]
  [ 28  62  63]
  [ 32  63  65]
  ...
  [ 95 104 101]
  [ 94 103 102]
  [ 91 101 100]]

 [[ 28  64  64]
  [ 29  65  65]
  [ 32  66  67]
  ...
  [104 110 108]
  [ 99 105 103]
  [ 91 100  97]]

 ...

 [[ 64  87  93]
  [ 66  86  93]
  [ 66  85  91]
  ...
  [162 144  78]
  [122 117  62]
  [ 75  77  27]]

 [[ 64  83  87]
  [ 67  86  90]
  [ 67  86  92]
  ...
  [155 131  67]
  [118 107  53]
  [ 82  79  28]]

 [[ 65  83  85]
  [ 66  86  87]
  [ 64  83  89]
  ...
  [143 118  54]
  [102  89  36]
  [ 79  71  22]]]",46
"[[[166 134  73]
  [165 134  70]
  [166 137  69]
  ...
  [141 125 109]
  [136 123 106]
  [132 121 103]]

 [[165 133  72]
  [167 136  71]
  [169 138  71]
  ...
  [133 117 101]
  [128 116 100]
  [124 116  97]]

 [[168 134  71]
  [172 139  72]
  [174 141  72]
  ...
  [123 110  94]
  [120 111  96]
  [115 108  90]]

 ...

 [[251 242 113]
  [255 245 111]
  [247 235  91]
  ...
  [207 177  63]
  [205 173  64]
  [202 169  62]]

 [[255 243 110]
  [252 238 103]
  [248 231  91]
  ...
  [197 178  75]
  [206 186  97]
  [197 176  93]]

 [[255 240 103]
  [252 236  99]
  [245 226  88]
  ...
  [131 119  21]
  [105  89  11]
  [ 71  57   0]]]",46
"[[[ 41  62  19]
  [ 58  78  29]
  [ 83 100  45]
  ...
  [ 12  16   2]
  [ 27  31  17]
  [ 22  28  14]]

 [[ 71  88  44]
  [ 29  47   0]
  [ 65  83  25]
  ...
  [ 11  15   1]
  [  8  14   2]
  [  8  16   3]]

 [[ 77  86  43]
  [ 44  56   6]
  [ 54  72  10]
  ...
  [  8  15   0]
  [ 12  20   9]
  [ 11  21  12]]

 ...

 [[129 120 103]
  [126 117 100]
  [129 120 103]
  ...
  [104  96  94]
  [ 92  84  82]
  [ 88  80  78]]

 [[126 114 100]
  [129 117 103]
  [128 116 102]
  ...
  [ 57  47  46]
  [ 55  45  43]
  [ 60  50  48]]

 [[159 145 132]
  [129 115 102]
  [115 101  88]
  ...
  [ 45  35  34]
  [ 48  38  36]
  [ 80  70  68]]]",35
"[[[234 235 230]
  [234 235 230]
  [234 234 234]
  ...
  [226 225 230]
  [227 226 231]
  [227 226 231]]

 [[234 234 232]
  [234 234 232]
  [234 234 234]
  ...
  [226 225 230]
  [226 225 230]
  [226 225 230]]

 [[234 234 234]
  [234 234 234]
  [234 234 234]
  ...
  [227 226 231]
  [226 225 230]
  [225 224 229]]

 ...

 [[ 74  74  66]
  [ 73  73  65]
  [ 71  71  63]
  ...
  [107 103 100]
  [115 111 108]
  [112 108 105]]

 [[ 73  73  63]
  [ 73  73  63]
  [ 70  70  60]
  ...
  [110 107 102]
  [128 125 120]
  [121 118 113]]

 [[ 72  72  60]
  [ 71  71  59]
  [ 68  68  58]
  ...
  [ 64  61  56]
  [ 74  71  66]
  [ 64  61  56]]]",15
"[[[ 58  58  58]
  [ 58  58  58]
  [ 59  59  59]
  ...
  [ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]]

 [[ 59  59  59]
  [ 59  59  59]
  [ 59  59  59]
  ...
  [ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]]

 [[ 59  59  59]
  [ 58  58  58]
  [ 58  58  58]
  ...
  [ 43  43  43]
  [ 43  43  43]
  [ 43  43  43]]

 ...

 [[ 69  69  69]
  [ 88  88  88]
  [ 95  95  95]
  ...
  [ 96  96  96]
  [101 101 101]
  [104 104 104]]

 [[117 117 117]
  [124 124 124]
  [120 120 120]
  ...
  [101 101 101]
  [ 92  92  92]
  [ 98  98  98]]

 [[135 135 135]
  [129 129 129]
  [131 131 131]
  ...
  [113 113 113]
  [ 93  93  93]
  [ 97  97  97]]]",57
"[[[235 241 241]
  [235 241 241]
  [233 242 241]
  ...
  [222 231 238]
  [222 231 240]
  [222 231 240]]

 [[235 240 243]
  [235 240 243]
  [233 241 243]
  ...
  [222 231 238]
  [222 231 240]
  [222 231 240]]

 [[233 240 248]
  [233 240 248]
  [235 240 246]
  ...
  [223 230 238]
  [222 231 240]
  [222 231 240]]

 ...

 [[239 241 240]
  [235 241 239]
  [232 240 242]
  ...
  [212 157 118]
  [211 158 118]
  [213 160 118]]

 [[242 242 244]
  [240 244 247]
  [237 242 245]
  ...
  [217 161 124]
  [214 160 122]
  [213 160 120]]

 [[241 240 245]
  [241 242 246]
  [236 241 245]
  ...
  [220 164 129]
  [216 162 124]
  [212 158 120]]]",113
"[[[164 218 156]
  [179 231 169]
  [193 236 180]
  ...
  [158 225 148]
  [167 223 158]
  [172 226 164]]

 [[166 220 160]
  [182 233 174]
  [198 241 187]
  ...
  [160 224 148]
  [165 224 156]
  [169 224 159]]

 [[169 223 165]
  [183 234 177]
  [198 240 190]
  ...
  [162 226 148]
  [164 224 154]
  [165 222 154]]

 ...

 [[165 168 159]
  [156 159 152]
  [142 144 143]
  ...
  [186 192 190]
  [182 186 185]
  [180 184 183]]

 [[178 179 171]
  [169 170 164]
  [152 152 150]
  ...
  [191 195 194]
  [191 192 194]
  [185 186 188]]

 [[188 189 181]
  [180 181 175]
  [173 173 171]
  ...
  [182 186 185]
  [189 190 192]
  [187 188 192]]]",28
"[[[ 66  45  26]
  [ 56  35  16]
  [ 49  30  15]
  ...
  [105  97  76]
  [120 107  90]
  [125 109  94]]

 [[ 44  23   6]
  [ 42  21   4]
  [ 52  33  18]
  ...
  [116 108  87]
  [124 111  95]
  [136 120 105]]

 [[ 47  24  10]
  [ 54  32  18]
  [ 45  27  13]
  ...
  [127 119  98]
  [135 123 107]
  [141 127 114]]

 ...

 [[169 172 163]
  [172 175 164]
  [167 169 158]
  ...
  [188 122  70]
  [193 132  77]
  [191 132  74]]

 [[187 186 181]
  [176 176 168]
  [176 176 166]
  ...
  [173 120  70]
  [177 128  72]
  [170 125  68]]

 [[194 191 186]
  [194 191 184]
  [187 187 179]
  ...
  [148 100  51]
  [153 112  58]
  [166 127  70]]]",51
"[[[255 254 255]
  [255 254 255]
  [255 255 255]
  ...
  [255 254 255]
  [255 254 255]
  [255 255 255]]

 [[255 254 255]
  [255 254 255]
  [255 255 255]
  ...
  [255 254 255]
  [255 255 255]
  [255 255 255]]

 [[255 254 255]
  [255 254 255]
  [255 255 255]
  ...
  [255 254 255]
  [255 255 255]
  [254 255 255]]

 ...

 [[223 184 153]
  [221 182 151]
  [224 185 154]
  ...
  [255 255 253]
  [255 255 255]
  [255 255 255]]

 [[224 190 155]
  [227 192 160]
  [233 198 170]
  ...
  [255 255 253]
  [254 255 255]
  [252 254 253]]

 [[229 196 161]
  [232 199 166]
  [234 200 173]
  ...
  [255 255 251]
  [254 255 255]
  [254 255 255]]]",118
